ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,Class
63.0,94.0,1,28,17,0,0,100,,7,8,25,2,56,1.0,5,5,82.0,70.0,6.0,2.0,2.0,100.0,0
77.0,46.0,5,27,7,0,0,100,,7,8,7,2,43,0.0,1,1,0.0,96.0,0.0,2.0,,67.0,0
84.0,146.0,12,80,22,0,0,95,46.0,6,6,22,0,0,1.0,2,2,0.0,,0.0,,0.0,0.0,0
86.0,315.0,16,102,18,1,0,95,64.0,6,5,19,0,53,0.0,5,2,0.0,,1.0,1.0,0.0,29.0,1
60.0,86.0,6,46,16,0,0,94,43.0,6,6,16,4,63,0.0,1,1,76.0,92.0,4.0,5.0,1.0,90.0,0
73.0,191.0,2,27,9,0,0,100,,7,8,19,1,50,1.0,2,2,6.0,,4.0,2.0,0.0,86.0,1
72.0,141.0,1,66,10,0,0,83,15.0,6,6,12,2,25,0.0,1,1,49.0,94.0,2.0,1.0,1.0,33.0,0
62.0,188.0,7,96,23,5,3,74,12.0,6,2,12,1,35,,2,2,23.0,40.0,4.0,4.0,0.0,67.0,1
82.0,280.0,13,102,22,0,0,91,26.0,6,6,23,0,9,0.0,0,0,3.0,,4.0,1.0,1.0,42.0,1
74.0,181.0,1,65,61,0,0,100,,6,7,65,5,35,,0,0,12.0,80.0,9.0,6.0,2.0,58.0,0
59.0,192.0,5,99,18,5,3,81,4.0,3,2,26,1,19,,1,1,40.0,,3.0,1.0,0.0,57.0,0
86.0,138.0,8,73,14,0,0,100,,7,8,14,1,14,0.0,0,0,18.0,,5.0,1.0,0.0,75.0,0
80.0,162.0,9,82,22,0,0,100,,7,8,24,1,58,0.0,0,0,79.0,45.0,2.0,2.0,,80.0,1
