ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,Class
64.0,175.0,6,97,29,9,9,63,2.0,4,4,41,1,63,0.0,1,1,16.0,94.0,1.0,1.0,,50.0,0
57.0,47.0,9,35,5,1,0,50,16.0,6,5,10,1,30,0.0,2,2,66.0,70.0,2.0,2.0,0.0,57.0,0
59.0,168.0,3,38,21,0,0,100,,7,8,21,12,38,0.0,1,1,85.0,90.0,10.0,5.0,4.0,94.0,0
65.0,228.0,5,69,24,3,2,85,3.0,0,2,27,1,31,7.0,0,0,13.0,66.0,3.0,2.0,0.0,46.0,1
65.0,117.0,7,48,7,1,1,78,36.0,6,4,9,2,56,7.0,0,0,54.0,69.0,2.0,3.0,1.0,83.0,1
58.0,324.0,12,132,38,1,1,80,2.0,2,4,23,0,31,,2,2,67.0,23.0,8.0,3.0,5.0,57.0,0
76.0,254.0,1,102,36,3,3,90,25.0,6,3,40,5,35,0.0,1,1,3.0,68.0,6.0,4.0,0.0,59.0,1
72.0,335.0,8,79,26,1,1,100,,0,8,19,1,35,,1,1,26.0,68.0,4.0,2.0,1.0,50.0,0
81.0,398.0,2,112,17,0,0,100,,7,8,18,2,33,0.0,0,0,47.0,60.0,5.0,2.0,1.0,64.0,1
79.0,81.0,8,38,10,0,0,100,,7,8,10,2,20,0.0,0,0,10.0,,2.0,1.0,,50.0,1
72.0,214.0,17,61,21,0,0,100,,7,8,21,0,33,0.0,0,0,66.0,66.0,7.0,2.0,2.0,64.0,1
56.0,314.0,9,111,16,0,0,94,3.0,4,6,17,2,18,0.0,0,0,78.0,96.0,6.0,1.0,3.0,70.0,0
64.0,436.0,10,94,27,0,0,93,2.0,4,6,38,1,4,6.0,0,0,59.0,,9.0,,5.0,56.0,0
88.0,232.0,5,92,10,0,0,100,,7,8,12,1,70,,0,0,0.0,83.0,0.0,3.0,0.0,60.0,1
49.0,198.0,6,95,12,5,2,55,1.0,4,4,20,2,35,0.0,2,2,60.0,,6.0,1.0,1.0,78.0,0
77.0,146.0,7,76,30,0,0,100,,7,8,30,2,33,0.0,0,0,41.0,,5.0,1.0,2.0,75.0,1
66.0,81.0,4,35,10,0,0,100,,7,8,10,3,60,0.0,1,1,79.0,94.0,4.0,2.0,2.0,100.0,0
57.0,75.0,8,33,17,0,0,88,2.0,4,6,17,1,18,0.0,0,0,32.0,,3.0,1.0,2.0,44.0,0
72.0,33.0,5,20,4,0,0,100,,7,8,4,1,75,5.0,1,1,0.0,92.0,0.0,2.0,,67.0,1
76.0,219.0,26,75,17,0,0,100,,7,8,17,0,35,11.0,1,0,59.0,32.0,3.0,2.0,2.0,71.0,1
81.0,246.0,12,86,21,0,0,100,,7,8,22,0,55,,0,0,0.0,89.0,0.0,6.0,0.0,43.0,1
86.0,467.0,10,123,25,0,0,96,17.0,6,6,26,1,31,9.0,0,0,3.0,34.0,4.0,1.0,0.0,50.0,1
77.0,258.0,4,103,26,0,0,100,,7,8,27,1,33,8.0,0,0,31.0,89.0,7.0,3.0,1.0,83.0,1
60.0,141.0,13,83,7,3,1,55,17.0,6,2,11,0,36,,1,1,80.0,,2.0,1.0,2.0,80.0,0
62.0,80.0,3,31,7,2,1,78,59.0,6,2,9,3,22,0.0,3,3,25.0,80.0,4.0,2.0,0.0,86.0,1
59.0,180.0,5,55,45,1,1,80,0.0,4,4,49,6,65,1.0,2,2,20.0,87.0,7.0,4.0,0.0,80.0,0
71.0,324.0,5,91,55,0,0,93,44.0,6,6,59,2,8,0.0,0,0,38.0,83.0,10.0,2.0,2.0,62.0,0
73.0,424.0,3,78,36,0,0,100,,7,8,40,5,20,3.0,1,1,13.0,,6.0,1.0,1.0,44.0,1
65.0,242.0,4,28,6,2,2,75,13.0,6,2,7,3,63,,2,2,23.0,87.0,1.0,3.0,0.0,100.0,0
87.0,296.0,26,120,12,0,0,100,,7,8,14,0,42,,0,0,17.0,33.0,2.0,1.0,0.0,75.0,1
68.0,261.0,15,104,25,0,0,96,65.0,6,6,25,0,24,0.0,1,1,78.0,20.0,7.0,3.0,4.0,83.0,1
66.0,51.0,13,25,6,0,0,100,,7,8,6,0,33,1.0,1,1,97.0,,4.0,1.0,2.0,100.0,0
82.0,120.0,2,43,15,0,0,100,,7,8,17,4,29,0.0,0,0,33.0,80.0,2.0,4.0,0.0,86.0,1
77.0,256.0,3,93,37,0,0,92,19.0,6,6,39,4,23,3.0,1,1,13.0,,3.0,1.0,0.0,31.0,1
67.0,279.0,3,80,51,0,0,94,13.0,5,6,52,2,37,0.0,1,1,45.0,86.0,15.0,4.0,3.0,70.0,1
69.0,194.0,3,43,18,0,0,100,,7,8,18,7,44,3.0,2,2,68.0,,6.0,2.0,2.0,67.0,0
81.0,325.0,9,117,20,1,0,95,35.0,6,5,21,3,52,10.0,0,0,3.0,31.0,2.0,2.0,0.0,63.0,1
73.0,163.0,13,85,27,0,0,97,52.0,6,6,29,0,41,,0,0,34.0,39.0,4.0,2.0,2.0,60.0,0
68.0,104.0,4,45,42,1,1,98,21.0,6,2,43,4,42,11.0,0,0,38.0,53.0,10.0,6.0,2.0,73.0,1
65.0,220.0,4,95,35,0,0,94,10.0,4,6,35,1,26,0.0,0,0,53.0,,7.0,2.0,1.0,63.0,0
86.0,199.0,1,83,17,0,0,100,,7,8,19,3,37,0.0,2,2,1.0,21.0,1.0,3.0,1.0,33.0,1
82.0,224.0,5,70,37,0,0,97,48.0,6,6,38,1,50,17.0,0,0,23.0,83.0,1.0,5.0,0.0,50.0,1
58.0,80.0,27,62,11,2,1,83,33.0,6,5,13,0,50,0.0,1,1,82.0,42.0,3.0,3.0,2.0,100.0,0
88.0,292.0,14,105,20,0,0,100,,7,8,20,0,50,0.0,2,2,11.0,83.0,2.0,2.0,0.0,50.0,1
61.0,184.0,7,55,4,2,2,67,3.0,0,2,6,1,67,0.0,0,0,14.0,74.0,1.0,3.0,0.0,100.0,0
57.0,204.0,6,73,28,1,1,97,1.0,0,2,29,6,41,0.0,0,0,14.0,96.0,4.0,4.0,1.0,62.0,0
87.0,308.0,3,90,27,0,0,97,,6,7,30,1,40,,0,0,19.0,62.0,5.0,3.0,0.0,67.0,1
77.0,154.0,2,71,27,0,0,100,,7,8,28,2,29,0.0,0,0,39.0,66.0,5.0,3.0,0.0,62.0,1
81.0,198.0,4,63,20,0,0,100,,7,8,21,4,30,18.0,0,0,18.0,80.0,7.0,2.0,1.0,69.0,0
88.0,280.0,5,127,37,0,0,100,,7,8,39,2,34,3.0,2,1,6.0,94.0,2.0,3.0,0.0,38.0,1
